scenario,subset,ground_truth_length_mm,ground_truth_width_mm,ground_truth_height_mm,measured_length_mm,measured_width_mm,measured_height_mm,abs_error_length_mm,abs_error_width_mm,abs_error_height_mm,relative_error_length_percent,relative_error_width_percent,relative_error_height_percent,passed,expected_reject,false_ok,status,evidence_type
mc_0000_box,yaw_only,337.923458716539,287.60373568357153,167.0145604965911,338.84342201033525,288.0364618969619,167.70417630415517,0.9199632937962292,0.4327262133903673,0.6896158075640813,0.2722401390215184,0.15045917688164628,0.4129075965075254,True,False,False,ok,MONTE CARLO SYNTHETIC | yaw_only
mc_0001_cylinder,tilted_irregular,182.16714263519356,182.16714263519356,140.22379753528028,184.3452776078915,182.1971478874842,139.74753381680063,2.178134972697933,0.030005252290635553,0.4762637184796574,1.195679386078887,0.016471275695817345,0.33964542884372356,True,False,False,ok,MONTE CARLO SYNTHETIC | tilted_irregular
mc_0002_box,small_object,30.969852725880088,22.07892665503505,15.683276805811095,30.98530305105973,22.441964918615863,15.909330776651776,0.015450325179642732,0.3630382635808118,0.22605397084068102,0.04988827462757549,1.6442749652326134,1.4413695150551806,True,False,False,ok,MONTE CARLO SYNTHETIC | small_object
mc_0003_cylinder,noisy_incomplete,151.78761922613683,151.78761922613683,111.94508168576186,0.0,0.0,0.0,151.78761922613683,151.78761922613683,111.94508168576186,100.0,100.0,100.0,False,True,False,insufficient_depth_data,MONTE CARLO SYNTHETIC | noisy_incomplete
mc_0004_box,yaw_only,381.3681355922287,262.73743013344165,88.650668219895,381.7153252238794,263.0569965197617,89.109079727312,0.3471896316506786,0.31956638632004797,0.4584115074169972,0.09103792353063947,0.12162956231921104,0.517098761489223,True,False,False,ok,MONTE CARLO SYNTHETIC | yaw_only
mc_0005_composite,tilted_irregular,385.0484512723899,207.57395232746438,143.5555964147421,390.49175641241936,208.2032368489323,145.77603558042452,5.443305140029452,0.6292845214679232,2.2204391656824214,1.41366758444089,0.30316160308745144,1.5467451086110349,True,False,False,ok,MONTE CARLO SYNTHETIC | tilted_irregular
mc_0006_box,small_object,30.29386988853289,29.969544737826784,21.370272073356972,30.859530856649883,29.978332800707364,21.93952177689123,0.565660968116994,0.008788062880579872,0.5692497035342576,1.8672456513425282,0.029323311239652587,2.6637457004768796,True,False,False,ok,MONTE CARLO SYNTHETIC | small_object
mc_0007_box,noisy_incomplete,254.27913593676868,175.12743860672404,155.8199250638603,255.12218004008753,176.03852902873,157.03513866187043,0.8430441033188458,0.9110904220059695,1.2152135980101377,0.3315427749166509,0.5202442457072447,0.779883315636368,True,False,False,ok,MONTE CARLO SYNTHETIC | noisy_incomplete
mc_0008_box,yaw_only,396.6022089476223,259.38201340922484,129.37201798792552,397.4389608528186,259.60699573790544,129.85667445552193,0.8367519051963086,0.2249823286805963,0.4846564675964089,0.21098014239926113,0.08673782955244609,0.37462232956870367,True,False,False,ok,MONTE CARLO SYNTHETIC | yaw_only
mc_0009_l_prism,tilted_irregular,358.2718013291123,151.2327909970286,86.99661791426217,370.3942055215478,152.14016528113655,88.63743144018592,12.12240419243551,0.9073742841079593,1.6408135259237469,3.3835775373512416,0.5999851474841771,1.8860658784929074,True,False,False,ok,MONTE CARLO SYNTHETIC | tilted_irregular
mc_0010_box,small_object,38.83759939489879,26.616932566330007,22.946779216003456,39.31997736523235,26.644412515023248,23.556116012275673,0.4823779703335589,0.027479948693240885,0.6093367962722169,1.2420385859299994,0.10324235756603516,2.655434954667867,True,False,False,ok,MONTE CARLO SYNTHETIC | small_object
